dataset_name,algorithm_name,combined_score,f1_score,cover_score,batch_size,max_dist_size,new_dist_buffer_size,threshold_ratio,version,execution_time_s
rail_lines,WATCH_Stage1,1.750266276128345,0.9655172413793104,0.7847490347490347,5,8,3,0.3,6.0,0.0005295276641845703
rail_lines,WATCH_Stage3,1.750266276128345,0.9655172413793104,0.7847490347490347,5,8,3,0.3,6.0,0.00027680397033691406
rail_lines,WATCH_Stage3_List,1.7056419815040504,0.9655172413793104,0.7401247401247402,3,8,10,0.1,6.0,0.00020694732666015625
rail_lines,WATCH_Origin,1.750266276128345,0.9655172413793104,0.7847490347490347,5,50,3,1.5,,0.020076751708984375
occupancy,WATCH_Stage1,1.4365382327188563,0.876974759397131,0.5595634733217254,3,64,10,1.1,6.0,0.009706497192382812
occupancy,WATCH_Stage3,1.456877489757921,0.9191304347826086,0.5377470549753125,3,32,16,0.9,6.0,0.004993915557861328
occupancy,WATCH_Stage3_List,1.4039996719988421,0.7624940504521657,0.6415056215466765,5,8,112,0.1,6.0,0.004023313522338867
occupancy,WATCH_Origin,1.5763878305863583,0.9416553595658074,0.6347324710205511,7,0,8,3.0,,0.46703290939331055
bitcoin,WATCH_Stage1,1.5513619552677953,0.804968944099379,0.7463930111684163,3,32,10,2.5,6.0,0.021813631057739258
bitcoin,WATCH_Stage3,1.5118947643128495,0.761904761904762,0.7499900024080876,5,64,12,1.3,6.0,0.008445501327514648
bitcoin,WATCH_Stage3_List,0.8319767871164756,0.5098039215686274,0.32217286554784824,5,8,96,0.1,6.0,0.003711700439453125
bitcoin,WATCH_Origin,1.4649860043119505,0.7563279183981867,0.7086580859137639,3,25,8,2.5,,0.42191100120544434
centralia,WATCH_Stage1,1.6624242424242424,0.9090909090909091,0.7533333333333333,3,16,10,0.1,6.0,0.00021505355834960938
centralia,WATCH_Stage3,1.6624242424242424,0.9090909090909091,0.7533333333333333,3,16,10,0.1,6.0,7.081031799316406e-05
centralia,WATCH_Stage3_List,1.6624242424242424,0.9090909090909091,0.7533333333333333,3,8,10,0.1,6.0,9.775161743164062e-05
centralia,WATCH_Origin,1.6624242424242424,0.9090909090909091,0.7533333333333333,3,75,10,1.0,,0.0035750865936279297
run_log,WATCH_Stage1,1.6237225863039537,0.891809908998989,0.7319126773049646,3,32,16,1.1,6.0,0.0076694488525390625
run_log,WATCH_Stage3,1.6867795829205314,0.9382978723404256,0.7484817105801058,5,32,12,3.5,6.0,0.005496978759765625
run_log,WATCH_Stage3_List,1.0310757035899938,0.47916666666666663,0.5519090369233272,5,32,64,0.1,6.0,0.0013577938079833984
run_log,WATCH_Origin,1.037990174897815,0.5702479338842975,0.4677422410135176,3,75,10,3.0,,0.8357954025268555
quality_control_3,WATCH_Stage1,1.9934729811778993,1.0,0.9934729811778993,5,32,80,1.1,6.0,0.001188516616821289
quality_control_3,WATCH_Stage3,1.9934729811778993,1.0,0.9934729811778993,5,48,80,1.1,6.0,0.0005905628204345703
quality_control_3,WATCH_Stage3_List,1.0475409836065575,0.4,0.6475409836065574,3,96,128,0.1,6.0,0.0020453929901123047
quality_control_3,WATCH_Origin,1.7609046751669704,0.8,0.9609046751669703,3,25,8,3.0,,0.17484092712402344
bank,WATCH_Stage1,2.0,1.0,1.0,10,128,64,1.1,6.0,0.004171609878540039
bank,WATCH_Stage3,2.0,1.0,1.0,10,112,64,1.1,6.0,0.0008749961853027344
bank,WATCH_Stage3_List,0.5622489959839359,0.33333333333333337,0.22891566265060243,7,8,128,0.1,6.0,0.0036885738372802734
bank,WATCH_Origin,2.0,1.0,1.0,10,0,3,2.0,,1.7653286457061768
scanline_42049,WATCH_Stage1,1.6418280563065382,0.8407557354925776,0.8010723208139605,7,64,16,2.0,6.0,0.008102178573608398
scanline_42049,WATCH_Stage3,1.6418280563065382,0.8407557354925776,0.8010723208139605,7,96,16,1.9,6.0,0.00487828254699707
scanline_42049,WATCH_Stage3_List,1.5279619377403644,0.7623066104078763,0.7656553273324882,10,112,80,0.1,6.0,0.004507541656494141
scanline_42049,WATCH_Origin,1.7961079486666989,0.9242053789731052,0.8719025696935937,3,0,10,2.5,,1.557342290878296
homeruns,WATCH_Stage1,1.5679568974049438,0.8785046728971964,0.6894522245077475,7,16,32,3.0,6.0,0.0003705024719238281
homeruns,WATCH_Stage3,1.5951745812470535,0.9333333333333333,0.6618412479137201,7,32,16,3.0,6.0,0.0006072521209716797
homeruns,WATCH_Stage3_List,1.5661642485968028,0.8785046728971964,0.6876595756996065,5,32,64,0.1,6.0,0.0003082752227783203
homeruns,WATCH_Origin,1.4711314592670526,0.888888888888889,0.5822425703781635,3,50,10,3.5,,0.15253400802612305
jfk_passengers,WATCH_Stage1,1.617131916081754,0.7755102040816326,0.8416217120001214,3,8,16,4.5,6.0,0.0053136348724365234
jfk_passengers,WATCH_Stage3,1.617131916081754,0.7755102040816326,0.8416217120001214,3,16,8,4.5,6.0,0.002003192901611328
jfk_passengers,WATCH_Stage3_List,0.9833150155311579,0.5588235294117647,0.4244914861193931,3,112,128,0.1,6.0,0.003515958786010742
jfk_passengers,WATCH_Origin,1.6101002207873873,0.7755102040816326,0.8345900167057547,5,75,8,3.5,,0.2901134490966797
gdp_iran,WATCH_Stage1,1.6007367705061433,0.8679245283018867,0.7328122422042567,5,32,8,2.0,6.0,0.0009109973907470703
gdp_iran,WATCH_Stage3,1.597609685723176,0.8679245283018867,0.7296851574212894,3,64,10,1.9,6.0,0.0012125968933105469
gdp_iran,WATCH_Stage3_List,1.31468258871684,0.7819148936170214,0.5327676950998186,3,96,16,0.1,6.0,0.00030231475830078125
gdp_iran,WATCH_Origin,1.597609685723176,0.8679245283018867,0.7296851574212894,3,75,10,3.0,,0.09355020523071289
debt_ireland,WATCH_Stage1,1.687403628117914,0.9583333333333333,0.7290702947845805,5,8,3,0.1,6.0,0.0006160736083984375
debt_ireland,WATCH_Stage3,1.687403628117914,0.9583333333333333,0.7290702947845805,5,8,3,0.1,6.0,0.0006041526794433594
debt_ireland,WATCH_Stage3_List,1.651322751322751,0.9583333333333333,0.6929894179894179,3,64,3,0.1,6.0,0.0004162788391113281
debt_ireland,WATCH_Origin,1.651322751322751,0.9583333333333333,0.6929894179894179,3,75,3,1.0,,0.03487849235534668
gdp_japan,WATCH_Stage1,1.7277951933124347,1.0,0.7277951933124347,3,16,32,0.1,6.0,0.00023126602172851562
gdp_japan,WATCH_Stage3,1.7277951933124347,1.0,0.7277951933124347,3,16,32,0.1,6.0,0.0002949237823486328
gdp_japan,WATCH_Stage3_List,1.7277951933124347,1.0,0.7277951933124347,3,8,32,0.1,6.0,0.000278472900390625
gdp_japan,WATCH_Origin,1.3940886699507389,0.8,0.5940886699507388,10,0,3,1.5,,0.012415647506713867
uk_coal_employ,WATCH_Stage1,0.8697550619067687,0.5132743362831859,0.35648072562358274,5,8,3,0.1,6.0,0.0008919239044189453
uk_coal_employ,WATCH_Stage3,0.8697550619067687,0.5132743362831859,0.35648072562358274,7,96,3,0.1,6.0,0.0007190704345703125
uk_coal_employ,WATCH_Stage3_List,0.8697550619067687,0.5132743362831859,0.35648072562358274,7,16,3,0.1,6.0,0.0008034706115722656
uk_coal_employ,WATCH_Origin,1.5589936561023519,0.9565217391304348,0.602471916971917,5,50,8,1.5,,0.03349661827087402
measles,WATCH_Stage1,1.8985537102497547,0.9473684210526316,0.9511852891971232,10,96,12,2.5,6.0,0.007330179214477539
measles,WATCH_Stage3,1.8985537102497547,0.9473684210526316,0.9511852891971232,10,96,32,2.5,6.0,0.0024602413177490234
measles,WATCH_Stage3_List,0.38056164012699667,0.21951219512195125,0.16104944500504542,7,8,128,0.1,6.0,0.0063097476959228516
measles,WATCH_Origin,1.8985537102497547,0.9473684210526316,0.9511852891971232,7,0,8,3.0,,15.167332887649536
businv,WATCH_Stage1,1.4113856301822365,0.7755102040816326,0.6358754261006039,3,32,128,2.5,6.0,0.0017709732055664062
businv,WATCH_Stage3,1.4172548923959583,0.7034482758620689,0.7138066165338892,3,48,16,3.0,6.0,0.004275798797607422
businv,WATCH_Stage3_List,1.3892880645924124,0.6495726495726496,0.7397154150197629,5,32,112,0.1,6.0,0.0018436908721923828
businv,WATCH_Origin,1.2160921823009132,0.5204081632653061,0.6956840190356072,7,50,8,3.5,,0.11794281005859375
construction,WATCH_Stage1,1.6689001189148753,0.9285714285714286,0.7403286903434467,3,112,16,1.5,6.0,0.013842582702636719
construction,WATCH_Stage3,1.6689001189148753,0.9285714285714286,0.7403286903434467,3,96,48,1.5,6.0,0.007688045501708984
construction,WATCH_Stage3_List,1.2065807151106607,0.631578947368421,0.5750017677422397,7,16,128,0.1,6.0,0.001753091812133789
construction,WATCH_Origin,1.5963768605207886,0.8615384615384615,0.7348383989823271,3,75,8,3.5,,0.6952462196350098
quality_control_1,WATCH_Stage1,1.9923669190051254,1.0,0.9923669190051255,5,8,128,0.5,6.0,0.0014107227325439453
quality_control_1,WATCH_Stage3,1.9923669190051254,1.0,0.9923669190051255,5,8,128,0.5,6.0,0.0009891986846923828
quality_control_1,WATCH_Stage3_List,1.1898615548455804,0.4,0.7898615548455804,7,8,128,0.1,6.0,0.0012845993041992188
quality_control_1,WATCH_Origin,1.9923669190051254,1.0,0.9923669190051255,5,75,8,3.0,,0.23908185958862305
brent_spot,WATCH_Stage1,1.25814701680485,0.6363636363636365,0.6217833804412137,3,8,8,4.5,6.0,0.00406193733215332
brent_spot,WATCH_Stage3,1.3202331434983916,0.662531017369727,0.6577021261286646,5,96,3,4.0,6.0,0.007954120635986328
brent_spot,WATCH_Stage3_List,1.0602125667805837,0.4947589098532494,0.5654536569273343,3,80,96,0.1,6.0,0.003835916519165039
brent_spot,WATCH_Origin,1.0840826743510967,0.5293453724604967,0.5547373018905999,3,50,10,3.0,,0.6242954730987549
us_population,WATCH_Stage1,1.738727612257024,1.0,0.738727612257024,7,128,16,5.0,6.0,0.01505279541015625
us_population,WATCH_Stage3,1.3305972993742003,0.6153846153846154,0.7152126839895849,3,128,8,5.0,6.0,0.020836353302001953
us_population,WATCH_Stage3_List,0.5973039215686274,0.4,0.19730392156862744,5,8,112,0.1,6.0,0.0038356781005859375
us_population,WATCH_Origin,1.6922649942329873,0.888888888888889,0.8033761053440983,3,0,10,2.5,,20.522575616836548
iceland_tourism,WATCH_Stage1,1.8774401418859001,1.0,0.8774401418859001,5,32,128,4.5,6.0,0.0010523796081542969
iceland_tourism,WATCH_Stage3,1.8774401418859001,1.0,0.8774401418859001,5,128,3,4.5,6.0,0.008051156997680664
iceland_tourism,WATCH_Stage3_List,1.3267919685005114,0.6428571428571429,0.6839348256433684,7,8,128,0.1,6.0,0.0007021427154541016
iceland_tourism,WATCH_Origin,1.8933899861646237,0.9473684210526316,0.9460215651119921,5,0,8,3.5,,0.5320229530334473
shanghai_license,WATCH_Stage1,1.895965236893748,0.9655172413793104,0.9304479955144378,5,128,32,1.5,6.0,0.005656242370605469
shanghai_license,WATCH_Stage3,1.895965236893748,0.9655172413793104,0.9304479955144378,5,128,32,1.5,6.0,0.0037734508514404297
shanghai_license,WATCH_Stage3_List,1.4427839573977272,0.6956521739130436,0.7471317834846837,7,32,112,0.1,6.0,0.0006895065307617188
shanghai_license,WATCH_Origin,1.7402402692158792,0.888888888888889,0.8513513803269902,7,50,8,3.5,,0.07541584968566895
apple,WATCH_Stage1,1.520687368505369,0.8041237113402063,0.7165636571651628,3,8,16,5.0,6.0,0.007028818130493164
apple,WATCH_Stage3,1.520687368505369,0.8041237113402063,0.7165636571651628,3,16,8,5.0,6.0,0.003041505813598633
apple,WATCH_Stage3_List,0.969724095604439,0.5249999999999999,0.44472409560443904,7,48,128,0.1,6.0,0.002022266387939453
apple,WATCH_Origin,1.761735651442479,0.9156626506024097,0.8460730008400692,5,50,8,2.0,,0.15119671821594238
gdp_argentina,WATCH_Stage1,1.6376132421449103,0.9473684210526316,0.6902448210922788,3,16,3,4.0,6.0,0.0005095005035400391
gdp_argentina,WATCH_Stage3,1.607067685831395,0.888888888888889,0.718178796942506,3,48,16,1.5,6.0,0.0007796287536621094
gdp_argentina,WATCH_Stage3_List,1.6065838041431264,0.888888888888889,0.7176949152542373,5,8,48,0.1,6.0,0.0003616809844970703
gdp_argentina,WATCH_Origin,1.563396793745747,0.888888888888889,0.6745079048568581,3,25,10,3.5,,0.035497188568115234
quality_control_5,WATCH_Stage1,2.0,1.0,1.0,5,64,32,0.9,6.0,0.0019681453704833984
quality_control_5,WATCH_Stage3,2.0,1.0,1.0,5,64,32,0.9,6.0,0.001329183578491211
quality_control_5,WATCH_Stage3_List,0.9092307692307692,0.5,0.4092307692307692,7,48,128,0.1,6.0,0.0009949207305908203
quality_control_5,WATCH_Origin,2.0,1.0,1.0,7,75,3,2.0,,0.1015019416809082
nile,WATCH_Stage1,1.888,1.0,0.8879999999999999,7,128,3,2.5,6.0,0.0012629032135009766
nile,WATCH_Stage3,1.888,1.0,0.8879999999999999,7,64,3,2.5,6.0,0.0006308555603027344
nile,WATCH_Stage3_List,1.5816094117647057,0.8235294117647058,0.75808,5,8,96,0.1,6.0,0.0008139610290527344
nile,WATCH_Origin,1.888,1.0,0.8879999999999999,7,25,8,3.5,,0.029799699783325195
unemployment_nl,WATCH_Stage1,1.5453184830871052,0.8764044943820225,0.6689139887050827,3,32,8,2.5,6.0,0.00600886344909668
unemployment_nl,WATCH_Stage3,1.5360221664296012,0.8764044943820225,0.6596176720475786,3,32,8,3.0,6.0,0.003841400146484375
unemployment_nl,WATCH_Stage3_List,1.2015677177585107,0.6577181208053692,0.5438495969531416,7,8,128,0.1,6.0,0.0009424686431884766
unemployment_nl,WATCH_Origin,1.2287376087876756,0.7102040816326531,0.5185335271550224,3,25,8,1.0,,0.08468031883239746
co2_canada,WATCH_Stage1,1.4800974149661297,0.8339281465619796,0.64616926840415,7,32,16,3.5,6.0,0.0008554458618164062
co2_canada,WATCH_Stage3,1.4800974149661297,0.8339281465619796,0.64616926840415,7,32,16,3.5,6.0,0.0014798641204833984
co2_canada,WATCH_Stage3_List,1.4467527942632321,0.7453323375653472,0.7014204566978849,5,8,80,0.1,6.0,0.0012295246124267578
co2_canada,WATCH_Origin,1.6883501288836043,0.9244558258642765,0.7638943030193277,3,25,8,3.5,,0.24918103218078613
ratner_stock,WATCH_Stage1,1.7586968691685674,0.888888888888889,0.8698079802796783,3,80,8,2.5,6.0,0.009905099868774414
ratner_stock,WATCH_Stage3,1.7586968691685674,0.888888888888889,0.8698079802796783,3,32,8,4.0,6.0,0.0033478736877441406
ratner_stock,WATCH_Stage3_List,1.3877031737817318,0.6233766233766235,0.7643265504051083,10,112,80,0.1,6.0,0.005706787109375
ratner_stock,WATCH_Origin,1.6476471737786023,0.7755102040816326,0.8721369696969697,5,50,8,3.5,,0.1833333969116211
well_log,WATCH_Stage1,1.692853506238574,0.8748475237862893,0.8180059824522846,3,16,3,1.7,6.0,0.005431413650512695
well_log,WATCH_Stage3,1.750835482824836,0.9198606271777002,0.8309748556471359,3,112,3,1.7,6.0,0.021554946899414062
well_log,WATCH_Stage3_List,0.8530968689403323,0.33582709891936824,0.5172697700209641,3,80,128,0.1,6.0,0.00743412971496582
